"id"	"name"	"latitude"	"longitude"	"Type"	"citation"	"sameAs"
1	"Adana Halkevi"	36.993124877288	35.3256830789356	"Salon"		"http://www.cinemap.org/archives/001"
2	"Aile "	36.9815100090019	35.3308823187689	"Açık Hava 
"		"http://www.cinemap.org/archives/002"
3	"Akıncılar"	37.0003326609701	35.3634957660719	"Açık Hava"		"http://www.cinemap.org/archives/003"
4	"Akkapı"	36.9631887764584	35.305598830687	"Açık Hava"		"http://www.cinemap.org/archives/004"
5	"Alemdar"	36.9931098282492	35.3422603127556	"Açık Hava"		"http://www.cinemap.org/archives/005"
6	"Alim"	37.0113811244272	35.3060017468289	"Açık Hava"		"http://www.cinemap.org/archives/006"
7	"Amfi-Tiyatro Sineması"	37.0568801739073	35.3590819455878	"Açık Hava"		"http://www.cinemap.org/archives/007"
8	"Ar"	36.9934067177794	35.3221732494509	"Açık Hava"		"http://www.cinemap.org/archives/008"
9	"Arı II"	37.0001062066436	35.3274250147001	"Salon"		"http://www.cinemap.org/archives/009"
10	"Arıplex / Arı I"	36.9949729971095	35.3253436205047	"Sinema Kompleksi / Salon"		"http://www.cinemap.org/archives/010"
11	"Arzu"	36.9847141441735	35.3264540550383	"Salon"		"http://www.cinemap.org/archives/011"
12	"Arzu II"	36.9772515262735	35.3307938255806	"Açık Hava"		"http://www.cinemap.org/archives/012"
13	"Asri II"	36.995011725874	35.3248259541647	"Açık Hava"		"http://www.cinemap.org/archives/013"
14	"Atlas"	36.9837415459346	35.3251451370392	"Açık Hava"		"http://www.cinemap.org/archives/014"
15	"Avşar"	36.9907517192062	35.3412276622909	"Sinema Kompleksi"		"http://www.cinemap.org/archives/015"
16	"Bağdat"	36.9805187953679	35.3185675491976	"Açık Hava"		"http://www.cinemap.org/archives/016"
17	"Bahar"	37.0035482277027	35.3219157573837	"Açık Hava"		"http://www.cinemap.org/archives/017"
18	"Barkal"	36.9951752628326	35.2876707395195	"Açık Hava - Dam Sineması"		"http://www.cinemap.org/archives/018"
19	"Baykal"	37.0077580369832	35.3238469478753	"Açık Hava"		"http://www.cinemap.org/archives/019"
20	"Bulvar"	36.9918963493279	35.3233480569991	"Açık Hava"		"http://www.cinemap.org/archives/020"
21	"Cemalpaşa"	37.0100209544464	35.3238925454284	"Açık Hava"		"http://www.cinemap.org/archives/021"
22	"Cinema Pink Adana"	36.9939194972768	35.3062048770688	"Sinema Kompleksi"		"http://www.cinemap.org/archives/022"
23	"Cinemaximum"	37.0190868667931	35.241975253906	"Sinema Kompleksi"		"http://www.cinemap.org/archives/023"
24	"Cinens"	36.9955064338197	35.3014183700929	"Sinema Kompleksi"		"http://www.cinemap.org/archives/024"
25	"Çamlı"	36.9925676294303	35.3258478757983	"Açık Hava"		"http://www.cinemap.org/archives/025"
