"id"	"name"	"description"	"additionalTypeId"	"additionalTypeName"	"startDate"	"endDate"	"addressLocality"	"addressRegion"	"postalCode"	"streetAddress"	"latitude"	"longitude"	"citation"	"sameAs"
"http://www.cinemacontext.nl/id/B001550"	"Concertgebouw"				1888-01-01		"Amsterdam"			"Concertgebouwplein 2-6"	52.3564	4.87944		"http://www.cinemacontext.nl/id/B001550"
"http://www.cinemacontext.nl/id/B001550"	"Concertgebouw"				1888-01-01		"Amsterdam"			"Van Baerlestraat"	52.3564	4.87944		"http://www.cinemacontext.nl/id/B001550"
"http://www.cinemacontext.nl/id/B001590"	"Casino Variété"	"Geen bioscoop, maar vertoont film als onderdeel van een variétévoorstelling."			1898-01-01	1932-12-31	"Rotterdam"			"Coolsingel 83"	51.9216	4.47883		"http://www.cinemacontext.nl/id/B001590"
"http://www.cinemacontext.nl/id/B000014"	"Flora"	"Voor 1929 was Flora een variététheater waar soms films werden vertoond als onderdeel van het programma. Het brandde twee keer af, in 1902 en 1929. Sinds 1977 Flora-Disney Theater geheten."			1903-01-01	1929-02-11	"Amsterdam"			"Amstelstraat 20-28"	52.3661	4.8993		"http://www.cinemacontext.nl/id/B000014"
"http://www.cinemacontext.nl/id/B000938"	"Tivoli (Coolsingel)"	"Ook bekend als Tivoli Wintertuin, waar vanaf 1903 The Royal American Bioscope filmvoorstellingen gaf in de wintermaanden. Tussen 1915-1918 Cinema Pathé geheten. Niet te verwarren met Tivoli Bioscope, Hoogstraat 160, waar vaak dezelfde films te zien waren"			1903-10-10	1926-04-30	"Rotterdam"			"Coolsingel 26"	51.9229	4.47831		"http://www.cinemacontext.nl/id/B000938"
"http://www.cinemacontext.nl/id/B000938"	"Tivoli (Coolsingel)"	"Ook bekend als Tivoli Wintertuin, waar vanaf 1903 The Royal American Bioscope filmvoorstellingen gaf in de wintermaanden. Tussen 1915-1918 Cinema Pathé geheten. Niet te verwarren met Tivoli Bioscope, Hoogstraat 160, waar vaak dezelfde films te zien waren"			1903-10-10	1926-04-30	"Rotterdam"			"Coolsingel 57 (vanaf 1923)"	51.9229	4.47831		"http://www.cinemacontext.nl/id/B000938"
"http://www.cinemacontext.nl/id/B001817"	"Koninklijke Nederlandsche Bioscope"	"ook: Nederlandsche Bioscope Compagnie"			1905-11-16	1905-12-23	"Den Haag"			"Passage 44"	52.0781	4.311		"http://www.cinemacontext.nl/id/B001817"
"http://www.cinemacontext.nl/id/B000131"	"Salon Cinémato Francais, Palais Lumineux"				1906-07-23	1906-12-31	"Den Haag"			"Passage 44"	52.0781	4.311		"http://www.cinemacontext.nl/id/B000131"
"http://www.cinemacontext.nl/id/B000083"	"Bijou Biograph Theatre"	"Bijou kreeg geen vergunning om muziek te maken (die vergunning werd pas na 1915 verleend aan de opvolger, zie Damstraat Bioscope)."			1906-11-01	1915-01-31	"Amsterdam"			"Damstraat 20"	52.3722	4.89478		"http://www.cinemacontext.nl/id/B000083"
"http://www.cinemacontext.nl/id/B000176"	"Vitascope Theatre"				1906-11-16	1912-11-30	"Den Haag"			"Passage 44"	52.0781	4.311		"http://www.cinemacontext.nl/id/B000176"
"http://www.cinemacontext.nl/id/B000164"	"Scala (Wagenstraat)"	"Ook wel ""Scala - Alberts Frères"" geheten van 1924 tot 1925. Scala vertoonde in 1921-1922 onder de naam ""Eerste Haagsche Jeugd Bioscoop"" op zaterdagmiddag films voor de jeugd. Scala was niet de eerste jeugdbioscoop in Den Haag: de Gemeentelijke Schoolbioscoop aan de Hoefkade ging al in 1918 open. NB: Er is ook een Scala in Scheveningen."			1907-01-01	1909-12-31	"Den Haag"			"Wagenstraat 34"	52.076	4.31231		"http://www.cinemacontext.nl/id/B000164"
"http://www.cinemacontext.nl/id/B000145"	"Gebouw voor Kunsten en Wetenschappen (Alberts Frères)"	"In de zomermaanden gaven Alberts Freres hier filmvoorstellingen. Vanaf 1927 worden er nog slechts sporadisch films vertoond."			1907-01-01	1926-12-31	"Den Haag"			"Zwarteweg 7"	52.0793	4.32265		"http://www.cinemacontext.nl/id/B000145"
"http://www.cinemacontext.nl/id/B000118"	"Apollo"	"Aanvankelijk ""Cinematograph"" geheten. In 1909 Apollo gedoopt."			1907-01-01	1985-12-31	"Den Haag"			"Spuistraat 19"	52.0773	4.31156		"http://www.cinemacontext.nl/id/B000118"
"http://www.cinemacontext.nl/id/B000103"	"Paleis voor Volksvlijt"				1907-01-01	1929-12-31	"Amsterdam"			"Frederiksplein"	52.36	4.89978		"http://www.cinemacontext.nl/id/B000103"
"http://www.cinemacontext.nl/id/B001515"	"Nederlandsch Koffiehuis"	"incidentele filmvoorstellingen"			1907-01-01	1910-12-31	"Hoorn"			"Grote Noord 2-4 / Rodesteen"	52.6395	5.05862		"http://www.cinemacontext.nl/id/B001515"
"http://www.cinemacontext.nl/id/B000018"	"Nöggerath"	"Aanvankelijk alleen ""Bioscope Theater"" genoemd.  Sinds 1983 een onderdeel van Tuschinski."			1907-09-07	1983-02-23	"Amsterdam"			"Reguliersbreestraat 34"	52.3665	4.89505		"http://www.cinemacontext.nl/id/B000018"
"http://www.cinemacontext.nl/id/B001068"	"Cinématographe - Bioscope Theater"				1907-10-31	1908-10-31	"Utrecht"			"Oudegracht 144"	52.0918	5.11777		"http://www.cinemacontext.nl/id/B001068"
"http://www.cinemacontext.nl/id/B001068"	"Cinématographe - Bioscope Theater"				1907-10-31	1908-10-31	"Utrecht"			"Oudegracht Weerdzijde 21"	52.0918	5.11777		"http://www.cinemacontext.nl/id/B001068"
