"id"	"name"	"streetAddress"	"address.city.country"	"address.city.color"	"addressLocality"	"addressRegion"	"address.city.name"	"address.city.language"	"address.city.id"	"address.street"	"address.id"	"address.position"	"latitude"	"longitude"	"address.geoData"	"openingDate"	"closingDate"	"geoData"	"status"	"seatingRange"	"venueRank"	"venueLocation"	"venueType.0"	"activeCinemaWeight"	"activeCinemaWeightBand"	"revenuePotential"	"turnover"	"priceProxy"	"activeDays"	"top20PerYear"	"topProductionCounty"	"topProductionYear"	"hasVenueImages"
"c2e0885a-20cd-11e9-8054-dc241e2d861b"	"Adriatico"	"237 Corso Sicilia (now Corso Benedetto Croce), in 1962 moved in 67 Via Gioacchino Toma"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"237 Corso Sicilia (now Corso Benedetto Croce), in 1962 moved in 67 Via Gioacchino Toma"	"6dd3f488-20c7-11e9-8054-dc241e2d861b"		41.108932	16.875687	"41.108932, 16.875687"	"before 1947"	2013	"41.108932, 16.875687"	"Commercial"	"601 – 900"	"Intermediate"	"District"	"Cinema"	0.5798708921	"0.50 – 0.75"	976.8	1	1.32	253	25	"USA"	1950	1
"c2e28f24-20cd-11e9-8054-dc241e2d861b"	"Petruzzelli"	"12 Corso Cavour"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"12 Corso Cavour"	"6dd4ac20-20c7-11e9-8054-dc241e2d861b"		41.123755	16.872727	"41.123755, 16.872727"	1903	"in use as theatre"	"41.123755, 16.872727"	"Commercial "	"1501+"	"Elite"	"Centre"	"Cinema - Theatre"	5.3784093803	"5.00 – 7.50"	9060	4	3	207	2	"USA"	1952	1
"c2e15f32-20cd-11e9-8054-dc241e2d861b"	"Impero"	"25 Corso Sonnino"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"25 Corso Sonnino"	"6dd474f8-20c7-11e9-8054-dc241e2d861b"		41.121152	16.877405	"41.121152, 16.877405"	"before 1947"	"1990s"	"41.121152, 16.877405"	"Commercial "	"901 – 1500"	"Elite"	"Centre"	"Cinema"	1.7239404901	"1.00 – 2.00"	4356	4	3	167	6	"USA"	1953	1
"c2e16a2c-20cd-11e9-8054-dc241e2d861b"	"Arena Impero"	"25 Corso Sonnino"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"25 Corso Sonnino"	"6dd477aa-20c7-11e9-8054-dc241e2d861b"		41.121152	16.877405	"41.121152, 16.877405"	"before 1947"	"1980s"	"41.121152, 16.877405"	"Commercial "	"Under 300"	"Seasonal"	"Centre"	"Open Air Cinema"	0.0890465129	"Up To 0.10"	225	2	0.75	95		"USA"	1951	
"c2e21558-20cd-11e9-8054-dc241e2d861b"	"Lonigro"	"Via Trani (now 61/B Via Ettore Carafa)"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"Via Trani (now 61/B Via Ettore Carafa)"	"6dd490c8-20c7-11e9-8054-dc241e2d861b"		41.113285	16.863267	"41.113285, 16.863267"	1951	"1980s"	"41.113285, 16.863267"	"Commercial "	"601 – 900"	"Intermediate"	"District"	"Cinema"	0.1726315064	"0.10 – 0.20"	872.4	1	1.2	67	5	"USA"	1952	
"c2e3012a-20cd-11e9-8054-dc241e2d861b"	"S. Francesco and Arena S. Francesco"	"Piazza Garibaldi"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"Piazza Garibaldi"	"6dd4de84-20c7-11e9-8054-dc241e2d861b"		41.125882	16.862826	"41.125882, 16.862826"	1951	"maybe 1972"	"41.125882, 16.862826"	"Parish "	"Under 300"	"Seasonal"	"Centre"	"Open Air Cinema"	0.0168198969	"Up To 0.10"	85	1	1	65	3	"Italy"	1950	
"c2e1ff50-20cd-11e9-8054-dc241e2d861b"	"Arena Japigia"	"Viale Japigia"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"Viale Japigia"	"6dd487ea-20c7-11e9-8054-dc241e2d861b"		41.113983	16.896077	"41.113983, 16.896077"	1953	1961	"41.113983, 16.896077"	"Commercial "	"301 – 600"	"Seasonal"	"District"	"Open Air Cinema"	0.0529826752	"Up To 0.10"	267.75	1	0.75	26		"Italy"	1950	
"c2e2c548-20cd-11e9-8054-dc241e2d861b"	"Redentore"	"44 Via Monsignore Francesco Nitti"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"44 Via Monsignore Francesco Nitti"	"6dd4c39a-20c7-11e9-8054-dc241e2d861b"		41.118931	16.85434	"41.118931, 16.854340"	"December 7th 1958"	"late '80s"	"41.118931, 16.854340"	"Parish"	"601 – 900"	"Inactive"	"Centre"	"Cinema"	0.1335697694	"0.10 – 0.20"	675		0.75					1
"c2e277f0-20cd-11e9-8054-dc241e2d861b"	"Odeon"	"119 Via Re David"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"119 Via Re David"	"6dd4a20c-20c7-11e9-8054-dc241e2d861b"		41.114301	16.87557	"41.114301, 16.875570"	1955	"first decade of 2000s"	"41.114301, 16.875570"	"Commercial "	"601 – 900"	"Inactive"	"District"	"Cinema"	0.1009193813	"0.10 – 0.20"	510		0.75					1
"c2e0b910-20cd-11e9-8054-dc241e2d861b"	"Cappuccini"	"96 Via Abbrescia"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"96 Via Abbrescia"	"6dd4054a-20c7-11e9-8054-dc241e2d861b"		41.122988	16.875786	"41.122988, 16.875786"	1951	1959	"41.122988, 16.875786"	"Parish"	"Under 300"	"Inactive"	"Centre"	"Cinema"	0.0228552716	"Up To 0.10"	115.5		0.75					
"c2e0f574-20cd-11e9-8054-dc241e2d861b"	"Casa del Soldato"	"8 Piazza Balenzano"	"Italy"	"#7db4d3"	"Bari"	"Bari city"	"bari"	"italian"	1	"8 Piazza Balenzano"	"6dd45e64-20c7-11e9-8054-dc241e2d861b"		41.119753	16.875918	"41.119753, 16.875918"	"1930s"	"1990s"	"41.119753, 16.875918"	"Military"	"601 – 900"	"Inactive"	"Centre"	"Cinema"	0.1038875984	"0.10 – 0.20"	525		0.75					
