id	name	description	additionalTypeId	additionalTypeName	startDate	endDate	addressLocality	addressRegion	postalCode	streetAddress	latitude	longitude	citation	sameAs
1	People's Popular Picture Palace at the Queen's Theatre	Queen's	https://homernetwork.github.io/vocabulary/venues/Theatre	Theatre	1908	1909	Dublin	Dublin		208-10 Gt Brunswick Street	53.3450197198604	-6.25483281241123	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c040
2	Cinematograph Volta	Lyceum (1920)	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1909	1947	Dublin	Dublin		45 Mary Street	53.3489912908207	-6.26588310189653	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c060
3	Picture House Sackville/O'Connell Street	Dublin Cinematograph Theatre; Picture House, Sackville Street	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1910		Dublin	Dublin		51 Lr Sackville/O'Connell Street	53.3478232022814	-6.25979502445097	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c096
4	Rotunda Round Room		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1912		Dublin	Dublin		165 Parnell Street	53.3527108902022	-6.26189051312921	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c164
5	Coliseum Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1910	1910	Dublin	Dublin		15-16 Redmond's Hill	53.3381082212616	-6.26618331442202	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c039
6	People's Picture Palace		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1911		Dublin	Dublin		50 Thomas Street	53.3426742919477	-6.27869520253502	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c047
7	Picture House Grafton Street		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1911		Dublin	Dublin		72 Grafton Street	53.3413429156204	-6.26056173950858	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c065
8	Kingstown Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1911		Kingstown	Dublin		9-10 Upper Georges Street, Kingstown	53.2919906921284	-6.13574927934657	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c071
9	Dorset Picture Hall		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1911		Dublin	Dublin		Granby Row	53.35423834028	-6.26672438592387	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c261
10	Electric Theatre, Dublin		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1911		Dublin	Dublin		46 Talbot Street	53.3514849744768	-6.25061503670706	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c061
11	Brunswick Cinema Theatre		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1911		Dublin	Dublin		30 Gt Brunswick Street	53.3450469920024	-6.25323825179261	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c062
12	Picturedrome, Harcourt Road	Abercorn Hall	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1912		Dublin	Dublin		3 1/2 Harcourt Road	53.3327605151429	-6.26427059653838	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c056
13	Gillooly Hall		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1911		Sligo	Sligo		Adelaide Street	54.269648	-8.47965	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c059
14	Sligo Picture Theatre		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1911		Sligo	Sligo		Thomas Street	54.27095	-8.471463	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c001
15	Mountjoy Picture and Variety Palace			Planned cinema	1912		Dublin	Dublin		1-2 Rutland Place, Summerhill	53.3566020303841	-6.25189333897673	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c041
16	Irish Cinema	"Hibernian Electric Theatre (January 1916 ""Under entirely new management"" ad ET"	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1912		Dublin	Dublin		113 Capel Streeet	53.3492133824993	-6.26920028330238	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c042
17	Camden Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1912		Dublin	Dublin		55 Lr Camden Street	53.3339230709812	-6.2654519911923	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c002
18	Assembly Picture Hall		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1912		Dublin	Dublin		Serpentine Ave, Sandymount	53.3317605183574	-6.22312740845691	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c038
19	Phoenix Picture Palace		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1912		Dublin	Dublin		7-9 Ellis Quay	53.3468165317068	-6.28115107953364	"Condon, Denis. ""Ireland's First Cinemas."" Last updated 2025. https://primitivecinema.github.io/irishcinemaproject/"	https://primitivecinema.github.io/irishcinemaproject/item.html?id=c048
