"id"	"name"	"startDate"	"endDate"	"addressLocality"	"VenueType"	"sameAs"	"citation"	"ProjectWebsite"	"longitude"	"latitude"
1	"Auditorium"	1902	1900	"286 Worthington Street"	"Venue, Theatre, Mixed programming vaudeville and film"			"https://www.mappingmovies.com/"	-72.5914659201	42.1052143868
2	"Grand Opera House"	1904	1902	"286 Worthington Street"	"Venue, Theatre, Mixed programming vaudeville and film"			"https://www.mappingmovies.com/"	-72.5914659201	42.1052143868
3	"Poli's Theatre"	1913	1904	"286 Worthington Street"	"Venue, Theatre, Mixed programming vaudeville and film"	"http://www.performingartsarchive.com/Ephemera/Postcards/Polis-Theatre-Block_Springfield-MA_1910/Polis-Theatre-Block_Springfield-MA_1910.htm"		"https://www.mappingmovies.com/"	-72.59146592	42.10521439
4	"Poli's Park Theatre"	1914	1913	"286 Worthington Street"	"Venue, Theatre, Mixed programming vaudeville and film"	"http://www.performingartsarchive.com/Ephemera/Postcards/Polis-Theatre-Block_Springfield-MA_1910/Polis-Theatre-Block_Springfield-MA_1910.htm"		"https://www.mappingmovies.com/"	-72.59146592	42.10521439
5	"Court Square Theatre"	1914	1897	"11 Elm Street"	"Venue, Theatre, Mixed programming theatre, vaudeville, and film"	"https://mahlerfoundation.org/mahler/locations/america/springfield/court-square-theater/"		"https://www.mappingmovies.com/"	-72.5882389085	42.100996037
6	"Nelson Theatre"	1912	1898	"254 Main Street"	"Venue, Theatre, Mixed programming vaudeville and film"	"https://www.cinematreasures.org/theaters/3721"		"https://www.mappingmovies.com/"	-72.5944833269	42.1042548629
7	" Fox-Nelson Theatre"	1925	1912	"254 Main Street"	"Venue, Theatre, Mixed programming vaudeville and film"	"https://www.cinematreasures.org/theaters/3721"	"https://www.tandfonline.com/doi/abs/10.1080/10714429809368568"	"https://www.mappingmovies.com/"	-72.5944833269	42.1042548629
8	"Fox's Theatre"	1934	1925	"254 Main Street"	"Venue, Cinema"	"https://www.cinematreasures.org/theaters/3721"	"https://www.tandfonline.com/doi/abs/10.1080/10714429809368568"	"https://www.mappingmovies.com/"	-72.5944833269	42.1042548629
9	"Art Theatre"	1956	1934	"254 Main Street"	"Venue, Cinema"	"https://www.cinematreasures.org/theaters/3721"		"https://www.mappingmovies.com/"	-72.5944833269	42.1042548629
10	"Gilmore's Opera House"	1896	1881	"414 Main Street"	"Venue, Theatre, Mixed programming vaudeville and film"	"https://cinematreasures.org/theaters/3717"		"https://www.mappingmovies.com/"	-72.5896810795	42.1020708483
