"id"	"name"	"description"	"latitude"	"longitude"	"citation"
1	"Astor"		10.66117876	-61.5200403	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
2	"Cinema 2"	"Location estimated"	10.65519636	-61.51224199	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
3	"Deluxe"		10.66287415	-61.51069165	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
4	"Electric Central"	"Location estimated"	10.66267241	-61.51939315	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
5	"Embassy"		10.65626484	-61.51223792	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
6	"Empire"	"Location estimated"	10.65519636	-61.51224199	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
7	"Gaiety"		10.64788843	-61.49058959	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
8	"Globe"		10.65663052	-61.51229117	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
9	"New City"	"Location estimated"	10.65968537	-61.50990573	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
10	"Odeon"	"Location estimated"	10.65671725	-61.50778414	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
11	"Olympic"		10.66643371	-61.50475889	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
12	"Pyramid"		10.65812858	-61.50833926	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
13	"Rex"	"Location estimated"	10.66142237	-61.50927037	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
14	"Rio"		10.64922296	-61.48447843	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
15	"Royal"		10.65721146	-61.50823533	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
16	"Roxy"		10.66818712	-61.52696191	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
17	"St. James"		10.6695589	-61.52807488	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
18	"State"		10.65617522	-61.51239012	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
19	"Strand"		10.65810384	-61.51374399	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
20	"Superstar"	"Location estimated"	10.65522268	-61.51134606	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
21	"Vistarama"	"Location estimated"	10.65519636	-61.51224199	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
22	"Embassy"	"Location estimated"	10.30468559	-61.45065309	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
23	"Empire"		10.27883098	-61.46269456	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
24	"Gaiety"		10.27883098	-61.46269456	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
25	"Globe"	"Location estimated"	10.27587402	-61.46164502	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
26	"Habosco"		10.27883098	-61.46269456	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
27	"Metro"		10.28000758	-61.46503149	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
28	"National"		10.27692268	-61.46414815	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
29	"New DeLuxe"		10.28026093	-61.4650154	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
30	"New"	"Location estimated"	10.30247976	-61.44931381	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
31	"Palace"	"Location estimated"	10.30247976	-61.44931381	"Burns, James. 2025. South Asian film in Trinidad and Guyana. In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey"
